britned_flow,date,day,demand_value,east_west_flow,eleclink_flow,embedded_solar_capacity,embedded_solar_generation,embedded_wind_capacity,embedded_wind_generation,england_wales_demand,greenlink_flow,hour,ifa2_flow,ifa_flow,minute,month,moyle_flow,nd,nemo_flow,non_bm_stor,nsl_flow,pump_storage_pumping,scottish_transfer,settlement_date,settlement_period,source_file,tsd,viking_flow,year
1021.0,2017-01-21,21,39616.0,-405.0,NaN,11503.0,0.0,4781.0,576.0,39616.0,NaN,0,0.0,-480.0,0,1,-314.0,43599.0,0.0,0.0,NaN,9.0,NaN,2017-01-21,39.0,NaN,45407.0,NaN,2017
NaN,2001-04-26,26,39078.0,NaN,NaN,NaN,NaN,NaN,NaN,39078.0,NaN,0,NaN,1218.0,0,4,NaN,43198.0,NaN,0.0,NaN,7.0,NaN,2001-04-26,36.0,NaN,NaN,NaN,2001
0.0,2009-12-11,11,40320.0,0.0,NaN,0.0,0.0,1773.0,498.0,40320.0,NaN,0,0.0,-1595.0,0,12,-449.0,44680.0,0.0,0.0,NaN,9.0,NaN,2009-12-11,42.0,NaN,47333.0,NaN,2009
992.0,2012-10-19,19,23918.0,0.0,NaN,1948.0,0.0,2085.0,221.0,23918.0,NaN,0,0.0,-4.0,0,10,-251.0,26545.0,0.0,0.0,NaN,1187.0,NaN,2012-10-19,3.0,NaN,28487.0,NaN,2012
358.0,2013-06-04,4,21886.0,-296.0,NaN,2782.0,0.0,2109.0,174.0,21886.0,NaN,0,0.0,991.0,0,6,-112.0,24307.0,0.0,0.0,NaN,937.0,NaN,2013-06-04,2.0,NaN,26152.0,NaN,2013
NaN,2007-11-30,30,42631.0,NaN,NaN,NaN,NaN,1147.0,333.0,42631.0,NaN,0,NaN,-2026.0,0,11,-175.0,47270.0,NaN,0.0,NaN,5.0,NaN,2007-11-30,26.0,NaN,50076.0,NaN,2007
NaN,2008-11-26,26,30696.0,NaN,NaN,NaN,NaN,1358.0,726.0,30696.0,NaN,0,NaN,-1795.0,0,11,-150.0,33925.0,NaN,0.0,NaN,1616.0,NaN,2008-11-26,48.0,NaN,38086.0,NaN,2008
924.0,2018-04-18,18,31093.0,125.0,NaN,13052.0,10.0,5978.0,2342.0,31093.0,NaN,0,0.0,1494.0,0,4,-333.0,33575.0,0.0,0.0,NaN,8.0,NaN,2018-04-18,41.0,NaN,34416.0,NaN,2018
0.0,2011-03-13,13,34979.0,0.0,NaN,120.0,23.0,1737.0,346.0,34979.0,NaN,0,0.0,1487.0,0,3,-303.0,38864.0,0.0,0.0,NaN,11.0,NaN,2011-03-13,27.0,NaN,39778.0,NaN,2011
NaN,2001-08-12,12,27595.0,NaN,NaN,NaN,NaN,NaN,NaN,27595.0,NaN,0,NaN,1990.0,0,8,NaN,30765.0,NaN,0.0,NaN,0.0,NaN,2001-08-12,46.0,NaN,NaN,NaN,2001
NaN,2002-02-07,7,34873.0,NaN,NaN,NaN,NaN,NaN,NaN,34873.0,NaN,0,NaN,1586.0,0,2,NaN,39040.0,NaN,0.0,NaN,834.0,NaN,2002-02-07,2.0,NaN,NaN,NaN,2002
NaN,2003-05-31,31,32392.0,NaN,NaN,NaN,NaN,NaN,NaN,32392.0,NaN,0,NaN,1979.0,0,5,NaN,35829.0,NaN,0.0,NaN,0.0,NaN,2003-05-31,23.0,NaN,NaN,NaN,2003
-329.0,2012-06-14,14,24643.0,0.0,NaN,1651.0,0.0,2065.0,150.0,24643.0,NaN,0,0.0,207.0,0,6,-123.0,27128.0,0.0,0.0,NaN,316.0,NaN,2012-06-14,13.0,NaN,28396.0,NaN,2012
NaN,2002-05-06,6,30519.0,NaN,NaN,NaN,NaN,NaN,NaN,30519.0,NaN,0,NaN,10.0,0,5,NaN,34012.0,NaN,0.0,NaN,7.0,NaN,2002-05-06,31.0,NaN,NaN,NaN,2002
497.0,2018-08-22,22,30596.0,76.0,NaN,13052.0,229.0,5913.0,1210.0,30596.0,NaN,0,0.0,1995.0,0,8,-211.0,33188.0,0.0,0.0,NaN,10.0,NaN,2018-08-22,39.0,NaN,33909.0,NaN,2018
0.0,2010-02-27,27,30193.0,0.0,NaN,0.0,0.0,1824.0,846.0,30193.0,NaN,0,0.0,1993.0,0,2,-331.0,33831.0,0.0,0.0,NaN,1221.0,NaN,2010-02-27,4.0,NaN,35983.0,NaN,2010
932.0,2017-03-19,19,26770.0,0.0,NaN,11750.0,1940.0,4831.0,3374.0,26770.0,NaN,0,0.0,1988.0,0,3,-25.0,29042.0,0.0,0.0,NaN,7.0,NaN,2017-03-19,31.0,NaN,29674.0,NaN,2017
973.0,2013-10-07,7,29980.0,-530.0,NaN,3029.0,0.0,2337.0,677.0,29980.0,NaN,0,0.0,1582.0,0,10,-251.0,32662.0,0.0,0.0,NaN,4.0,NaN,2013-10-07,45.0,NaN,33947.0,NaN,2013
851.0,2018-09-25,25,30505.0,60.0,NaN,13052.0,2180.0,5911.0,2748.0,30505.0,NaN,0,0.0,1995.0,0,9,-95.0,32948.0,0.0,0.0,NaN,6.0,NaN,2018-09-25,35.0,NaN,33549.0,NaN,2018
890.0,2022-03-21,21,34995.0,0.0,1001.0,14114.0,0.0,6545.0,1025.0,34995.0,0.0,0,-60.0,12.0,0,3,105.0,38585.0,716.0,0.0,1276.0,9.0,NaN,2022-03-21,39.0,NaN,39254.0,0.0,2022
732.0,2018-01-02,2,21254.0,432.0,NaN,12916.0,0.0,5754.0,1460.0,21254.0,NaN,0,0.0,1601.0,0,1,-3.0,23605.0,0.0,0.0,NaN,1744.0,NaN,2018-01-02,8.0,NaN,25952.0,NaN,2018
NaN,2001-07-04,4,36987.0,NaN,NaN,NaN,NaN,NaN,NaN,36987.0,NaN,0,NaN,581.0,0,7,NaN,40733.0,NaN,0.0,NaN,0.0,NaN,2001-07-04,36.0,NaN,NaN,NaN,2001
981.0,2013-05-22,22,35771.0,-480.0,NaN,2745.0,988.0,2087.0,815.0,35771.0,NaN,0,0.0,1489.0,0,5,-251.0,38942.0,0.0,0.0,NaN,9.0,NaN,2013-05-22,20.0,NaN,40182.0,NaN,2013
NaN,2007-09-30,30,23179.0,NaN,NaN,NaN,NaN,0.0,0.0,23179.0,NaN,0,NaN,1984.0,0,9,63.0,25946.0,NaN,0.0,NaN,1522.0,NaN,2007-09-30,9.0,NaN,27968.0,NaN,2007
NaN,2005-07-10,10,29928.0,NaN,NaN,NaN,NaN,NaN,NaN,29928.0,NaN,0,NaN,1493.0,0,7,-70.0,32863.0,NaN,0.0,NaN,8.0,NaN,2005-07-10,39.0,NaN,33441.0,NaN,2005
768.0,2015-08-21,21,29895.0,-203.0,NaN,8816.0,3250.0,3977.0,1904.0,29895.0,NaN,0,0.0,1999.0,0,8,169.0,32551.0,0.0,0.0,NaN,11.0,NaN,2015-08-21,31.0,NaN,33265.0,NaN,2015
NaN,2005-12-26,26,35586.0,NaN,NaN,NaN,NaN,NaN,NaN,35586.0,NaN,0,NaN,1041.0,0,12,-189.0,39769.0,NaN,0.0,NaN,9.0,NaN,2005-12-26,42.0,NaN,40567.0,NaN,2005
1000.0,2017-03-01,1,41122.0,-65.0,NaN,11750.0,23.0,4831.0,948.0,41122.0,NaN,0,0.0,1496.0,0,3,-6.0,45196.0,0.0,0.0,NaN,7.0,NaN,2017-03-01,36.0,NaN,45874.0,NaN,2017
217.0,2023-04-07,7,18689.0,44.0,327.0,15524.0,6328.0,6545.0,606.0,18689.0,0.0,0,482.0,372.0,0,4,374.0,21275.0,455.0,0.0,1061.0,4.0,-118.0,2023-04-07,33.0,NaN,21779.0,0.0,2023
